,in.geometry_floor_area,in.heating_fuel,in.insulation_wall,in.heating_setpoint,in.representative_income,in.infiltration,in.duct_leakage_and_insulation,in.hvac_heating_type,in.tenure,in.vintage,in.cooling_setpoint,bldg_id,in.geometry_foundation_type,in.hvac_heating_efficiency,in.occupants,in.refrigerator,in.water_heater_efficiency,in.bedrooms,in.window_areas,in.windows,out.site_energy.total.energy_consumption.kwh,in.geometry_building_type_recs,in.geometry_stories,in.geometry_building_number_units_mf,in.vintage_acs,in.hvac_cooling_type,in.geometry_wall_type,in.roof_material,in.geometry_garage,in.geometry_attic_type
63,2500-2999,Natural Gas,"Wood Stud, Uninsulated",72F,55558,30 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Renter,<1940,72F,65865,Unheated Basement,"Fuel Furnace, 80% AFUE",4,EF 19.9,Natural Gas Standard,4,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",128497.596859151,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,
64,0-499,Electricity,"Wood Stud, R-11",60F,4849,15 ACH50,,Non-Ducted Heating,Renter,1980s,72F,66159,Unheated Basement,"Electric Baseboard, 100% Efficiency",1,EF 19.9,Natural Gas Standard,1,F12 B12 L12 R12,"Single, Clear, Non-metal",6358.17686738636,Multi-Family with 5+ Units,3,24.0,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
65,2000-2499,Fuel Oil,"Wood Stud, R-11",70F,280058,20 ACH50,"20% Leakage to Outside, R-4",Ducted Heating,Owner,1980s,75F,68088,Slab,"Fuel Furnace, 80% AFUE",2,EF 19.9,Fuel Oil Standard,3,F15 B15 L15 R15,"Triple, Low-E, Non-metal, Air, L-Gain",57502.5954652812,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,Composition Shingles,2 Car,
66,3000-3999,Propane,"Wood Stud, R-19",70F,129611,2 ACH50,"20% Leakage to Outside, R-8",Ducted Heating,Owner,2000s,68F,69315,Slab,"Fuel Furnace, 80% AFUE",5,EF 17.6,Electric Standard,4,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",54851.1814934331,Single-Family Detached,2,,2000-09,Central AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
67,750-999,Electricity,"Wood Stud, R-19",75F,50507,15 ACH50,,Non-Ducted Heating,Renter,1990s,65F,69878,Unheated Basement,Shared Heating,2,EF 19.9,Electric Standard,2,F15 B15 L15 R15,"Double, Clear, Metal, Air",21011.1442338571,Multi-Family with 2 - 4 Units,2,2.0,1980-99,,Wood Frame,Wood Shingles,,
68,3000-3999,Fuel Oil,"Wood Stud, Uninsulated",72F,189083,15 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,70027,Unheated Basement,"Fuel Furnace, 80% AFUE",4,EF 19.9,Electric Premium,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",102687.413851223,Single-Family Detached,2,,<1940,,Wood Frame,"Asphalt Shingles, Medium",,
69,500-749,Natural Gas,"Wood Stud, Uninsulated",55F,0,20 ACH50,"30% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,<1940,72F,70079,Unheated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 19.9,Natural Gas Standard,2,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",21482.6955857642,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,Vented Attic
70,1000-1499,Natural Gas,"Wood Stud, Uninsulated",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1960s,75F,70312,Heated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 19.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",18285.5832812554,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Wood Shingles,1 Car,Vented Attic
71,1500-1999,Natural Gas,"Wood Stud, Uninsulated",70F,42426,40 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,72F,71034,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 21.9,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",91932.877860184,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
72,1000-1499,Fuel Oil,"Wood Stud, Uninsulated",70F,68718,20 ACH50,,Non-Ducted Heating,Owner,<1940,70F,71681,Unheated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 17.6,Natural Gas Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal",67214.6776597184,Single-Family Detached,2,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
73,750-999,Natural Gas,"Wood Stud, Uninsulated",67F,74751,30 ACH50,,Non-Ducted Heating,Renter,<1940,60F,72345,Vented Crawlspace,Shared Heating,1,EF 17.6,Natural Gas Tankless,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",24243.4250667865,Multi-Family with 2 - 4 Units,2,2.0,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
74,1500-1999,Natural Gas,"Wood Stud, R-7",68F,129243,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,76F,72775,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 15.9,Natural Gas Standard,4,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",58554.4275361293,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
75,0-499,,"Wood Stud, R-19",72F,17535,6 ACH50,,,Renter,2000s,60F,74382,Vented Crawlspace,,5,EF 15.9,Natural Gas Standard,2,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",13347.6288199236,Multi-Family with 5+ Units,2,8.0,2000-09,Room AC,Wood Frame,"Asphalt Shingles, Medium",,
76,0-499,Electricity,"Wood Stud, R-11",72F,19323,30 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heat Pump,Renter,1980s,67F,75910,Unvented Crawlspace,"ASHP, SEER 15, 8.5 HSPF",1,EF 19.9,Electric Standard,1,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",6087.08612747705,Multi-Family with 5+ Units,3,24.0,1980-99,Ducted Heat Pump,Wood Frame,"Asphalt Shingles, Medium",,
77,4000+,Natural Gas,"Wood Stud, Uninsulated",72F,149226,5 ACH50,,Non-Ducted Heating,Owner,<1940,68F,76867,Heated Basement,"Fuel Boiler, 80% AFUE",6,EF 19.9,Natural Gas Standard,5,F9 B9 L9 R9,"Single, Clear, Non-metal, Exterior Clear Storm",95449.1445601103,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Metal, Dark",1 Car,
78,1500-1999,Other Fuel,"Wood Stud, R-11",75F,4849,8 ACH50,,Non-Ducted Heating,Owner,1990s,68F,78204,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 19.9,Electric Standard,2,F18 B18 L18 R18,"Single, Clear, Metal, Exterior Clear Storm",5905.38206397027,Single-Family Detached,1,,1980-99,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
79,1500-1999,Electricity,"Wood Stud, Uninsulated",68F,38588,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,68F,78264,Heated Basement,"Electric Furnace, 100% AFUE",1,EF 15.9,Electric Standard,2,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",45910.7554267593,Single-Family Detached,2,,<1940,,Wood Frame,Composition Shingles,,Vented Attic
80,2000-2499,Natural Gas,"Wood Stud, Uninsulated",70F,32204,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,78512,Vented Crawlspace,"Fuel Furnace, 80% AFUE",1,EF 17.6,Natural Gas Standard,3,F18 B18 L18 R18,"Single, Clear, Non-metal, Exterior Clear Storm",75325.4195267347,Single-Family Detached,2,,<1940,Central AC,Wood Frame,Composition Shingles,,
81,750-999,Natural Gas,"Wood Stud, R-19",70F,4849,25 ACH50,,Non-Ducted Heating,Renter,1990s,78F,78956,Vented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",1,,Natural Gas Standard,1,F30 B30 L30 R30,"Single, Clear, Metal",35368.6959615943,Multi-Family with 5+ Units,8,116.0,1980-99,Room AC,Steel Frame,"Asphalt Shingles, Medium",,
82,1000-1499,Propane,"Wood Stud, R-11",55F,0,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1980s,65F,79120,Unheated Basement,"Fuel Furnace, 76% AFUE",0,EF 19.9,Propane Premium,2,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",12393.0963443727,Single-Family Detached,1,,1980-99,,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
83,1000-1499,Natural Gas,"Wood Stud, Uninsulated",70F,74751,15 ACH50,"10% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1960s,70F,80184,Unheated Basement,"Fuel Boiler, 76% AFUE",1,EF 17.6,Natural Gas Standard,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",43104.30685879,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
84,1500-1999,Natural Gas,"Wood Stud, Uninsulated",72F,37492,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,70F,80655,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Natural Gas Premium,3,F6 B6 L6 R6,"Double, Clear, Non-metal, Air, Exterior Clear Storm",59069.0603353517,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
85,3000-3999,Natural Gas,"Wood Stud, R-7",72F,129299,15 ACH50,"20% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,68F,82315,Unheated Basement,"Fuel Boiler, 80% AFUE",4,EF 17.6,Natural Gas Standard,5,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",64965.6502672168,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,2 Car,
86,2000-2499,Electricity,"Wood Stud, R-7",70F,12426,8 ACH50,,Non-Ducted Heating,Renter,1970s,72F,82538,Ambient,"Electric Wall Furnace, 100% AFUE",3,EF 19.9,Natural Gas Standard,4,F15 B15 L15 R15,"Single, Clear, Non-metal",55042.8499733257,Mobile Home,1,,1960-79,Room AC,Wood Frame,"Metal, Dark",,
87,750-999,Propane,"Wood Stud, Uninsulated",60F,55104,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,84430,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Premium,2,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",24752.4895156757,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
88,0-499,Fuel Oil,"Wood Stud, R-11",55F,0,7 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1990s,72F,84753,Unvented Crawlspace,"Fuel Furnace, 80% AFUE",0,EF 15.9,Electric Standard,1,F15 B15 L15 R15,"Double, Clear, Metal, Air, Exterior Clear Storm",5209.04520124107,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Vented Attic
89,1500-1999,Natural Gas,"Wood Stud, R-11",70F,16639,15 ACH50,,Non-Ducted Heating,Renter,2000s,75F,85261,Ambient,"Fuel Wall/Floor Furnace, 68% AFUE",1,EF 17.6,Electric Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air",44945.6723926821,Mobile Home,1,,2000-09,Room AC,Wood Frame,Slate,,
90,750-999,Propane,"Wood Stud, R-11",70F,27621,20 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,75F,86623,Ambient,"Fuel Furnace, 92.5% AFUE",2,EF 19.9,Electric Premium,3,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",21567.6861961141,Mobile Home,1,,1980-99,Room AC,Wood Frame,"Metal, Dark",,
91,500-749,Natural Gas,"Wood Stud, Uninsulated",55F,0,20 ACH50,,Ducted Heating,Not Available,<1940,62F,86935,Unheated Basement,Shared Heating,0,EF 19.9,Other Fuel,2,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",7616.33097163571,Multi-Family with 2 - 4 Units,1,2.0,<1940,,Wood Frame,Composition Shingles,,
92,3000-3999,Natural Gas,"Wood Stud, Uninsulated",55F,0,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,68F,87415,Unheated Basement,"Fuel Furnace, 92.5% AFUE",0,EF 19.9,Natural Gas Standard,3,F15 B15 L15 R15,"Single, Clear, Non-metal",39328.6722617613,Single-Family Detached,2,,<1940,,Wood Frame,"Asphalt Shingles, Medium",2 Car,
93,750-999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,11140,25 ACH50,,Non-Ducted Heating,Renter,1960s,60F,87594,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",1,EF 19.9,Electric Premium,1,F30 B30 L30 R30,"Single, Clear, Non-metal",31383.8086204625,Multi-Family with 5+ Units,5,67.0,1960-79,Room AC,Brick,"Asphalt Shingles, Medium",,
94,1500-1999,Natural Gas,"Wood Stud, Uninsulated",68F,32204,10 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,70F,87859,Heated Basement,"Fuel Furnace, 80% AFUE",1,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Single, Clear, Non-metal",39919.5035392285,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,"Asphalt Shingles, Medium",1 Car,Unvented Attic
95,2000-2499,Other Fuel,"Wood Stud, R-19",72F,31921,3 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,1990s,75F,87917,Heated Basement,"Fuel Furnace, 60% AFUE",2,EF 17.6,Fuel Oil Standard,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",15235.8857250433,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
96,2000-2499,Propane,"Wood Stud, R-7",68F,4229,10 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,70F,88300,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 19.9,Propane Standard,4,F12 B12 L12 R12,"Triple, Low-E, Non-metal, Air, L-Gain",53147.2662914518,Single-Family Detached,2,,1960-79,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
97,1500-1999,Natural Gas,"Wood Stud, Uninsulated",67F,128932,15 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,68F,88748,Unheated Basement,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",50271.6529509219,Single-Family Detached,2,,1940-59,,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
98,1500-1999,Electricity,"Wood Stud, Uninsulated",68F,27621,20 ACH50,,Non-Ducted Heating,Owner,<1940,75F,89220,Heated Basement,"Electric Baseboard, 100% Efficiency",2,EF 17.6,Electric Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal",34449.6250855342,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Composition Shingles,,Vented Attic
99,2000-2499,Natural Gas,"Wood Stud, Uninsulated",70F,110733,15 ACH50,,Non-Ducted Heating,Owner,1940s,70F,92025,Heated Basement,"Fuel Boiler, 80% AFUE",4,EF 17.6,Natural Gas Standard,3,F18 B18 L18 R18,"Double, Low-E, Non-metal, Air, M-Gain",66744.5916631622,Single-Family Detached,1,,1940-59,Room AC,Wood Frame,"Asphalt Shingles, Medium",2 Car,
100,500-749,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",68F,27621,25 ACH50,,Non-Ducted Heating,Renter,<1940,70F,92848,Unheated Basement,Shared Heating,2,EF 19.9,Natural Gas Standard,1,F30 B30 L30 R30,"Triple, Low-E, Non-metal, Air, L-Gain",20592.345674581,Multi-Family with 5+ Units,4,8.0,<1940,Room AC,Brick,"Asphalt Shingles, Medium",,
101,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",67F,89096,20 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,75F,93383,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 19.9,Fuel Oil Standard,3,F9 B9 L9 R9,"Single, Clear, Non-metal, Exterior Clear Storm",54568.660981787,Single-Family Detached,1,,<1940,Room AC,Wood Frame,"Metal, Dark",,Vented Attic
102,1000-1499,Propane,"Wood Stud, Uninsulated",68F,63747,30 ACH50,,Non-Ducted Heating,Owner,<1940,65F,93443,Vented Crawlspace,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 19.9,Propane Tankless,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",45742.2395614102,Single-Family Detached,1,,<1940,Room AC,Wood Frame,Wood Shingles,,Vented Attic
103,1500-1999,Other Fuel,"Wood Stud, R-11",70F,128932,15 ACH50,"20% Leakage to Outside, R-4",Non-Ducted Heating,Owner,1980s,70F,93918,Slab,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 6.7,Electric Premium,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air",13720.7082922529,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,2 Car,Vented Attic
104,750-999,Natural Gas,"Wood Stud, Uninsulated",55F,0,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,<1940,75F,94265,Unheated Basement,"Fuel Furnace, 80% AFUE",0,EF 17.6,Natural Gas Premium,3,F9 B9 L9 R9,"Double, Clear, Metal, Air",16914.3037439196,Single-Family Detached,1,,<1940,Central AC,Wood Frame,Composition Shingles,1 Car,Vented Attic
105,1000-1499,Other Fuel,"Wood Stud, Uninsulated",70F,55558,20 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,72F,94377,Unheated Basement,"Fuel Furnace, 60% AFUE",4,EF 17.6,Fuel Oil Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal",13270.5511284683,Single-Family Detached,2,,<1940,Room AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
106,1000-1499,Other Fuel,"Wood Stud, R-19",75F,47457,10 ACH50,,Non-Ducted Heating,Owner,1980s,70F,94702,Heated Basement,"Fuel Wall/Floor Furnace, 60% AFUE",3,EF 17.6,Electric Standard,4,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",10212.9406533616,Single-Family Detached,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
107,1500-1999,Propane,"Wood Stud, Uninsulated",75F,128932,10 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,<1940,68F,95890,Vented Crawlspace,"Fuel Furnace, 80% AFUE",2,EF 17.6,Propane Premium,3,F15 B15 L15 R15,"Single, Clear, Non-metal, Exterior Clear Storm",69797.2199300761,Single-Family Detached,2,,<1940,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
108,750-999,Natural Gas,"Wood Stud, R-11",55F,0,20 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1980s,78F,95946,Heated Basement,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 19.9,Natural Gas Standard,3,F9 B9 L9 R9,"Double, Clear, Non-metal, Air, Exterior Clear Storm",13564.5014118511,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,Vented Attic
109,1500-1999,Fuel Oil,"Wood Stud, Uninsulated",70F,108692,20 ACH50,"30% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1950s,68F,96149,Unheated Basement,"Fuel Furnace, 80% AFUE",2,EF 17.6,Fuel Oil Standard,3,F15 B15 L15 R15,"Double, Clear, Non-metal, Air",67214.9707307886,Single-Family Detached,1,,1940-59,Central AC,Wood Frame,Composition Shingles,,Vented Attic
110,750-999,Fuel Oil,"Wood Stud, R-11",72F,34359,8 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,68F,97379,Ambient,"Fuel Furnace, 80% AFUE",2,EF 17.6,Electric Standard,2,F6 B6 L6 R6,"Double, Low-E, Non-metal, Air, M-Gain",18212.6085847825,Mobile Home,1,,1980-99,Room AC,Wood Frame,Composition Shingles,,
111,1500-1999,Natural Gas,"Wood Stud, R-11",67F,107345,15 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1980s,68F,98179,Vented Crawlspace,"Fuel Furnace, 92.5% AFUE",1,EF 19.9,Natural Gas Premium,1,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",39125.8670812021,Single-Family Detached,1,,1980-99,Central AC,Wood Frame,"Metal, Dark",,Vented Attic
112,750-999,Natural Gas,"Wood Stud, R-11",55F,0,20 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1980s,75F,98222,Ambient,"Fuel Wall/Floor Furnace, 68% AFUE",0,EF 19.9,Natural Gas Standard,2,F18 B18 L18 R18,"Double, Clear, Non-metal, Air, Exterior Clear Storm",18743.9464350048,Mobile Home,1,,1980-99,Central AC,Wood Frame,"Metal, Dark",,
113,750-999,Propane,"Wood Stud, R-19",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Not Available,1990s,76F,98567,Ambient,"Fuel Furnace, 76% AFUE",0,EF 19.9,Electric Standard,2,F12 B12 L12 R12,"Double, Low-E, Non-metal, Air, M-Gain",7507.60160460181,Mobile Home,1,,1980-99,Central AC,Wood Frame,"Metal, Dark",,
114,750-999,Other Fuel,"Wood Stud, Uninsulated",68F,27621,8 ACH50,,Non-Ducted Heating,Renter,1960s,65F,98895,Vented Crawlspace,"Fuel Wall/Floor Furnace, 60% AFUE",2,EF 15.9,Propane Tankless,2,F6 B6 L6 R6,"Double, Clear, Non-metal, Air",8933.97850313002,Single-Family Detached,1,,1960-79,Room AC,Wood Frame,Composition Shingles,,Vented Attic
115,2000-2499,Electricity,"Wood Stud, Uninsulated",70F,129299,25 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1960s,72F,100265,Slab,"Electric Furnace, 100% AFUE",4,EF 10.5,Electric Standard,5,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",42893.8818304064,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,
116,500-749,Electricity,"Wood Stud, R-19",55F,0,15 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Not Available,1990s,68F,100367,Slab,Shared Heating,0,EF 19.9,Electric Standard,1,F30 B30 L30 R30,"Double, Clear, Non-metal, Air",2463.5554158677,Multi-Family with 5+ Units,3,67.0,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
117,1500-1999,Natural Gas,"Brick, 12-in, 3-wythe, Uninsulated",70F,89096,40 ACH50,,Non-Ducted Heating,Owner,<1940,65F,101121,Unheated Basement,Shared Heating,2,EF 19.9,Natural Gas Premium,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",52615.9284412295,Multi-Family with 2 - 4 Units,3,3.0,<1940,Room AC,Brick,Composition Shingles,,
118,1000-1499,Natural Gas,"Wood Stud, R-11",60F,4849,5 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Renter,2000s,72F,101399,Ambient,"Fuel Furnace, 80% AFUE",1,EF 6.7,Natural Gas Standard,3,F12 B12 L12 R12,"Double, Clear, Non-metal, Air",17480.5170514923,Mobile Home,1,,2000-09,Central AC,Wood Frame,Composition Shingles,,
119,3000-3999,Propane,"Wood Stud, R-11",68F,267342,5 ACH50,"20% Leakage to Outside, R-8",Ducted Heating,Owner,2000s,68F,101434,Slab,"Fuel Furnace, 60% AFUE",3,EF 17.6,Propane Standard,4,F9 B9 L9 R9,"Double, Low-E, Non-metal, Air, M-Gain",55059.2619532553,Single-Family Detached,1,,2000-09,Central AC,Wood Frame,Composition Shingles,1 Car,
120,2000-2499,Natural Gas,"Wood Stud, R-15",70F,149501,6 ACH50,"20% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1990s,72F,101822,Unvented Crawlspace,"Fuel Furnace, 92.5% AFUE",2,EF 17.6,Natural Gas Standard,3,F15 B15 L15 R15,"Double, Clear, Metal, Air",44925.4504888402,Single-Family Detached,2,,1980-99,Central AC,Wood Frame,Composition Shingles,,Vented Attic
121,1000-1499,Propane,"Wood Stud, R-7",70F,55104,25 ACH50,"0% Leakage to Outside, Uninsulated",Non-Ducted Heating,Owner,1970s,72F,103360,Slab,"Fuel Wall/Floor Furnace, 68% AFUE",2,EF 19.9,Propane Standard,3,F12 B12 L12 R12,"Single, Clear, Non-metal",43268.7197291567,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
122,1500-1999,Propane,"Wood Stud, R-7",70F,22473,6 ACH50,"0% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,78F,103614,Ambient,"Fuel Furnace, 80% AFUE",2,EF 19.9,Electric Standard,3,F15 B15 L15 R15,"Double, Low-E, Non-metal, Air, M-Gain",38967.6087033091,Mobile Home,1,,1960-79,,Wood Frame,Wood Shingles,,
123,0-499,Electricity,"Wood Stud, R-11",55F,0,15 ACH50,,Non-Ducted Heating,Not Available,1990s,65F,105312,Slab,Shared Heating,0,EF 17.6,Electric Standard,1,F18 B18 L18 R18,"Single, Clear, Non-metal",4135.23280013005,Multi-Family with 5+ Units,3,10.0,1980-99,Central AC,Wood Frame,"Asphalt Shingles, Medium",,
124,3000-3999,Fuel Oil,"Wood Stud, R-7",70F,169054,10 ACH50,"10% Leakage to Outside, Uninsulated",Ducted Heating,Owner,1970s,72F,106237,Unheated Basement,"Fuel Furnace, 80% AFUE",3,EF 17.6,FIXME Fuel Oil Indirect,4,F12 B12 L12 R12,"Double, Clear, Non-metal, Air, Exterior Clear Storm",89946.7352176269,Single-Family Detached,1,,1960-79,Central AC,Wood Frame,Composition Shingles,,Vented Attic
